id,name,region,platforms,missing_dedicated_destinations,model,score_breakdown,official_url,english_description,english_features,last_verified,pricing_source,pricing_last_checked,latest_major_update,available_countries,free_trial_requirements,affiliate_disclosure,logo,missing_count,action
krea,Krea,overseas,web,,false,false,false,false,false,true,true,true,true,true,true,true,false,7,REVIEW_PRIORITY
wanxiang,通义万相,domestic,web;api,api,false,false,false,false,false,true,true,true,true,true,true,true,false,8,REVIEW_PRIORITY
firefly,Adobe Firefly,overseas,web;desktop,desktop,false,false,false,false,false,true,false,true,true,true,true,true,false,7,REVIEW_PRIORITY
playground,Playground,overseas,web,,false,false,false,false,false,true,true,true,true,true,true,true,false,7,REVIEW_PRIORITY
seaart,SeaArt,domestic,web,,false,false,false,false,false,true,true,true,true,true,true,true,true,8,REVIEW_PRIORITY
aippt,AiPPT,domestic,web;windows;macos,desktop,false,false,false,false,false,true,true,true,true,true,true,true,false,8,REVIEW_PRIORITY
wanzhi,万知,domestic,web,,false,false,false,false,false,true,true,true,true,true,true,true,false,7,REVIEW_PRIORITY
xunfei-zhiwen,讯飞智文,domestic,web,,false,false,false,false,false,true,true,true,true,true,true,true,false,7,REVIEW_PRIORITY
marscode,MarsCode,domestic,web,,false,false,false,false,false,true,true,true,true,true,true,true,false,7,REVIEW_PRIORITY
codegeex,CodeGeeX,domestic,web;extension,plugin,false,false,false,false,false,true,true,true,true,true,true,true,false,8,REVIEW_PRIORITY
cline,Cline,overseas,extension,plugin,false,false,false,false,false,true,true,true,true,true,true,true,false,8,REVIEW_PRIORITY
aider,Aider,overseas,macos;windows;linux,desktop,false,false,false,false,false,true,true,true,true,true,true,true,true,9,REVIEW_PRIORITY
paperpal,Paperpal,overseas,web;extension;desktop,plugin;desktop,false,false,false,false,false,true,true,true,true,true,true,true,false,9,REVIEW_PRIORITY
devv,Devv,domestic,web;extension,plugin,false,false,false,false,false,true,true,true,true,true,true,true,true,9,REVIEW_PRIORITY
quark,夸克 AI,domestic,web;ios;android;desktop,app;desktop,false,false,false,false,false,true,true,true,true,true,true,true,false,9,REVIEW_PRIORITY
baidu-translate,百度翻译,domestic,web;ios;android;extension,app;plugin,false,false,false,false,false,true,true,true,true,true,true,true,false,9,REVIEW_PRIORITY
figjam,FigJam AI,overseas,web;desktop;macos;windows,desktop,false,false,false,false,false,true,true,true,true,true,true,true,false,8,REVIEW_PRIORITY
ms-designer,Microsoft Designer,overseas,web;windows;ios;android,app;desktop,false,false,false,false,false,true,true,true,true,true,true,true,false,9,REVIEW_PRIORITY
stepfun,阶跃星辰,domestic,web;ios;android;api,app;api,false,false,false,false,false,true,true,true,true,true,true,true,false,9,REVIEW_PRIORITY
meta-ai,Meta AI,overseas,web;ios;android;desktop;api,app;api;desktop,false,false,false,false,false,true,true,true,true,true,true,true,false,10,REVIEW_PRIORITY
cohere,Cohere,overseas,web;api,api,false,false,false,false,false,true,true,true,true,true,true,true,false,8,REVIEW_PRIORITY
hunyuan,腾讯混元,domestic,web;api,api,false,false,false,false,false,true,true,true,true,true,true,true,false,8,REVIEW_PRIORITY
civitai,Civitai,overseas,web,,false,false,false,false,false,true,true,true,true,true,true,true,false,7,REVIEW_PRIORITY
magnific,Magnific AI,overseas,web,,false,false,false,false,false,true,true,true,true,true,true,true,false,7,REVIEW_PRIORITY
pixverse,PixVerse,domestic,web,,false,false,false,false,false,true,true,true,true,true,true,true,false,7,REVIEW_PRIORITY
filmora,万兴喵影,domestic,web;macos;windows;ios;android,app;desktop,false,false,false,false,false,true,true,true,true,true,true,true,false,9,REVIEW_PRIORITY
did,D-ID,overseas,web;api,api,false,false,false,false,false,true,true,true,true,true,true,true,false,8,REVIEW_PRIORITY
boomy,Boomy,overseas,web,,false,false,false,false,false,true,true,true,true,true,true,true,false,7,REVIEW_PRIORITY
tianyin,网易天音,domestic,web,,false,false,false,false,false,true,true,true,true,true,true,true,false,7,REVIEW_PRIORITY
murf,Murf AI,overseas,web;api,api,false,false,false,false,false,true,true,true,true,true,true,true,false,8,REVIEW_PRIORITY
